company_top5,title,location,avg_experience,avg_base_salary
OTHERS,"TECHNICAL PROGRAM MANAGER","San Ramon, CA",12,210000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Bellevue, WA",14.066666666666666,208666.66666666666
GOOGLE,"SOFTWARE ENGINEERING MANAGER","Redmond, WA",7,208000
OTHERS,"SOFTWARE ENGINEERING MANAGER","New York, NY",13.053571428571429,207678.57142857142
OTHERS,"MANAGEMENT CONSULTANT","Florham Park, NJ",4.5,207500
ORACLE,"SOFTWARE ENGINEERING MANAGER","Seattle, WA",16.551724137931036,207034.4827586207
MICROSOFT,"SOFTWARE ENGINEERING MANAGER","Cambridge, MA",10,207000
APPLE,"HUMAN RESOURCES","Cupertino, CA",9,206500
GOOGLE,"HUMAN RESOURCES","New York, NY",13.5,206000
GOOGLE,"SOFTWARE ENGINEERING MANAGER","Kirkland, WA",12.5,205500
OTHERS,"SOFTWARE ENGINEERING MANAGER","San Francisco, CA",12.891228070175439,205414.73684210525
OTHERS,"SOFTWARE ENGINEERING MANAGER","Santa Clara, CA",14.952380952380953,205357.14285714287
AMAZON,"TECHNICAL PROGRAM MANAGER","Singapore, SG, Singapore",20,205000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Whippany, NJ",17.5,205000
ORACLE,"PRODUCT MANAGER","Colorado Springs, CO",30,205000
OTHERS,"DATA SCIENTIST","Kirkland, WA",7,205000
OTHERS,"PRODUCT DESIGNER","Oakland, CA",13,205000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Seattle, WA",13.442953020134228,204872.48322147652
OTHERS,"SOFTWARE ENGINEERING MANAGER","Redwood City, CA",11.6,204800
GOOGLE,"SOFTWARE ENGINEERING MANAGER","Seattle, WA",16.5,204375
GOOGLE,"SOFTWARE ENGINEER","Haifa, HA, Israel",9,204000
GOOGLE,"MANAGEMENT CONSULTANT","San Bruno, CA",10,204000
OTHERS,SALES,"Skillman, NJ",13,204000
OTHERS,"DATA SCIENTIST","King of Prussia, PA",14,204000
MICROSOFT,"SOLUTION ARCHITECT","Mountain View, CA",16,204000
MICROSOFT,"DATA SCIENTIST","Oakland, CA",4,204000
OTHERS,"TECHNICAL PROGRAM MANAGER","Santa Clara, CA",14.5,203071.42857142858
OTHERS,"SOLUTION ARCHITECT","Fairfax, VA",25,203000
GOOGLE,"SOFTWARE ENGINEERING MANAGER","New York, NY",14.866666666666667,202466.66666666666
